user,query_length,query_count
A,50,5
A,55,6
A,60,5
A,52,6
A,58,5
A,53,6
A,57,5
A,54,6
A,56,5
A,59,6
A,51,5
A,58,6
B,500,50
B,520,55
B,480,48
B,510,52
B,530,60
B,495,49
B,505,53
B,515,54
B,525,58
B,535,62
B,490,47
B,520,56
C,45,4
C,48,5
C,50,4
C,47,3
C,46,4
C,49,5
C,44,3
C,46,4
C,48,5
C,45,4
C,47,3
C,46,4
D,70,8
D,75,9
D,72,7
D,80,10
D,78,9
D,74,8
D,76,9
D,79,10
D,73,7
D,77,9
D,75,8
D,78,9
E,300,30
E,320,35
E,310,32
E,305,31
E,330,40
E,315,33
E,325,36
E,335,42
E,340,45
E,300,29
E,310,34
E,320,38
F,40,3
F,42,4
F,38,3
F,41,2
F,39,3
F,37,2
F,43,4
F,40,3
F,42,4
F,39,3
F,41,2
F,38,3
G,90,12
G,95,14
G,92,13
G,100,15
G,98,14
G,96,13
G,94,12
G,97,14
H,200,20
H,210,22
H,205,21
H,215,23
H,220,25
H,225,26
H,230,28
H,235,30
I,60,6
I,62,7
I,58,6
I,65,8
I,63,7
I,61,6
I,64,7
I,66,8
